customer_id,buyer_lat,buyer_long,weight(Kg),transaction_time(mins),delivery_slot_start,delivery_slot_end,customer_no,E,L
c_110002_5,28.63793355,77.22481809,0.29,5,7:00 AM,1:00 PM,56,0,360
c_110004_48,28.61914613,77.18340505,0.42,5,4:00 PM,7:00 PM,99,540,720
c_110002_79,28.6179006,77.23758293,0.83,5,1:00 PM,4:00 PM,230,360,540
c_110005_95,28.64482289,77.1661627,0.9,5,7:00 AM,1:00 PM,246,0,360
c_110007_9,28.65612464,77.17849524,1.1,5,7:00 AM,1:00 PM,60,0,360
c_110005_21,28.63983231,77.16359098,1.66,5,7:00 AM,1:00 PM,72,0,360
c_110006_34,28.63805451,77.21270938,1.92,5,10:00 AM,1:00 PM,185,180,360
c_110005_65,28.6696162,77.17918711,2.07,5,4:00 PM,7:00 PM,116,540,720
c_110007_80,28.6871583,77.18344219,2.69,5,10:00 AM,1:00 PM,231,180,360
c_110004_38,28.58806927,77.17576419,2.8,5,7:00 AM,1:00 PM,39,0,360
c_110009_59,28.70238436,77.20186248,2.84,5,7:00 AM,1:00 PM,210,0,360
c_110001_97,28.63157109,77.21091197,2.87,5,7:00 AM,1:00 PM,148,0,360
c_110002_42,28.6592502,77.26869353,2.93,5,7:00 AM,1:00 PM,43,0,360
c_110005_71,28.650284,77.1674444,2.95,5,1:00 PM,4:00 PM,222,360,540
c_110007_89,28.67010225,77.19091388,3.02,5,1:00 PM,4:00 PM,140,360,540
c_110003_13,28.56836312,77.2100634,3.55,5,4:00 PM,7:00 PM,64,540,720
c_110007_94,28.69785194,77.21079358,3.9,5,7:00 AM,1:00 PM,145,0,360
c_110007_66,28.68523946,77.20212341,3.9,5,10:00 AM,1:00 PM,217,180,360
c_110003_31,28.56924436,77.20660465,4.18,5,7:00 AM,1:00 PM,32,0,360
c_110002_1,28.65950184,77.23631164,4.2,5,7:00 AM,1:00 PM,152,0,360
c_110007_28,28.69185592,77.17291608,4.24,5,1:00 PM,4:00 PM,179,360,540
c_110009_47,28.73670323,77.19775186,4.38,5,1:00 PM,4:00 PM,198,360,540
c_110002_49,28.63414924,77.22955465,4.64,5,1:00 PM,4:00 PM,50,360,540
c_110006_19,28.64388351,77.24457793,4.7,5,4:00 PM,7:00 PM,20,540,720
c_110006_92,28.66618942,77.22905961,4.74,5,10:00 AM,1:00 PM,243,180,360
c_110007_1,28.67607912,77.20847836,4.81,5,7:00 AM,1:00 PM,2,0,360
c_110008_72,28.62938199,77.14963032,6.78,7,7:00 AM,1:00 PM,223,0,360
c_110002_50,28.62366059,77.24514423,8.72,7,4:00 PM,7:00 PM,201,540,720
c_110002_35,28.65774353,77.22712613,8.87,7,7:00 AM,1:00 PM,36,0,360
c_110002_57,28.62535745,77.22412521,9.21,7,4:00 PM,7:00 PM,208,540,720
c_110009_41,28.72274686,77.17056804,9.3,7,10:00 AM,1:00 PM,42,180,360
c_110008_37,28.63121454,77.16245053,9.54,7,4:00 PM,7:00 PM,188,540,720
c_110008_1,28.63488869,77.15112967,10,7,10:00 AM,1:00 PM,52,180,360
c_110002_84,28.6274357,77.26005325,13.27,7,10:00 AM,1:00 PM,235,180,360
c_110005_58,28.64696794,77.18582968,13.55,7,4:00 PM,7:00 PM,209,540,720
c_110009_64,28.71175652,77.18759836,15.65,7,10:00 AM,1:00 PM,115,180,360
c_110004_97,28.59574103,77.17850077,15.82,7,1:00 PM,4:00 PM,248,360,540
c_110007_33,28.67915246,77.17370501,16.25,7,7:00 AM,1:00 PM,34,0,360
c_110006_0,28.65714197,77.22083115,17.34,7,4:00 PM,7:00 PM,51,540,720
c_110001_33,28.6235263,77.20878894,18.72,7,7:00 AM,1:00 PM,184,0,360
c_110002_70,28.64360096,77.25678639,21.85,7,7:00 AM,1:00 PM,121,0,360
c_110001_29,28.63091278,77.19092065,22.96,7,4:00 PM,7:00 PM,30,540,720
c_110006_32,28.67203727,77.22044042,23.9,7,4:00 PM,7:00 PM,33,540,720
c_110004_4,28.59642879,77.18076835,24.54,7,7:00 AM,1:00 PM,55,0,360
c_110006_8,28.65122524,77.22343717,24.62,7,4:00 PM,7:00 PM,9,540,720
c_110006_10,28.63832346,77.23225975,25.69,7,7:00 AM,1:00 PM,161,0,360
c_110009_87,28.69934864,77.20528521,26.32,7,7:00 AM,1:00 PM,138,0,360
c_110004_84,28.59636467,77.19118774,26.38,7,4:00 PM,7:00 PM,135,540,720
c_110007_22,28.66671501,77.20113847,26.69,7,4:00 PM,7:00 PM,173,540,720
c_110001_44,28.60184229,77.20164015,29.51,7,4:00 PM,7:00 PM,95,540,720
c_110002_62,28.61719188,77.23148049,30.27,7,4:00 PM,7:00 PM,113,540,720
c_110006_98,28.66663814,77.20370172,34.62,7,4:00 PM,7:00 PM,249,540,720
c_110008_40,28.67014007,77.1555373,38.66,7,4:00 PM,7:00 PM,91,540,720
c_110003_30,28.60471833,77.23181966,42.88,7,4:00 PM,7:00 PM,181,540,720
c_110001_23,28.62599599,77.22960466,45.36,7,4:00 PM,7:00 PM,24,540,720
c_110008_50,28.64766331,77.17532384,46.66,7,7:00 AM,1:00 PM,101,0,360
c_110001_39,28.6166146,77.19716136,48.09,7,10:00 AM,1:00 PM,40,180,360
c_110001_54,28.60447247,77.23528627,49.68,7,1:00 PM,4:00 PM,205,360,540
c_110007_15,28.66994016,77.2021008,50.49,7,1:00 PM,4:00 PM,166,360,540
c_110006_91,28.63871985,77.20484533,52.22,7,4:00 PM,7:00 PM,142,540,720
c_110008_5,28.63547271,77.18426281,53.34,7,10:00 AM,1:00 PM,6,180,360
c_110005_25,28.66757278,77.20783211,54.04,7,4:00 PM,7:00 PM,176,540,720
c_110003_47,28.56589374,77.21762095,54.63,7,4:00 PM,7:00 PM,98,540,720
c_110004_37,28.60153166,77.20305918,55.39,7,7:00 AM,1:00 PM,88,0,360
c_110008_63,28.63357281,77.18815208,56.01,7,4:00 PM,7:00 PM,114,540,720
c_110001_54,28.61138114,77.21410135,56.95,7,4:00 PM,7:00 PM,105,540,720
c_110004_11,28.58806992,77.20147458,58.3,7,7:00 AM,1:00 PM,62,0,360
c_110003_44,28.56778499,77.20537501,58.52,7,4:00 PM,7:00 PM,45,540,720
c_110001_98,28.60309871,77.19228288,60.54,7,4:00 PM,7:00 PM,149,540,720
c_110009_4,28.70341682,77.17533717,63.66,7,4:00 PM,7:00 PM,5,540,720
c_110002_19,28.61702087,77.22755459,65.1,7,4:00 PM,7:00 PM,170,540,720
c_110005_69,28.67378695,77.17195029,65.7,7,10:00 AM,1:00 PM,120,180,360
c_110008_17,28.63856007,77.18879565,65.96,7,7:00 AM,1:00 PM,68,0,360
c_110009_6,28.73007515,77.17067082,66.16,7,7:00 AM,1:00 PM,157,0,360
c_110006_17,28.66181684,77.20906791,66.69,7,4:00 PM,7:00 PM,18,540,720
c_110003_42,28.61389886,77.22108375,67.26,7,4:00 PM,7:00 PM,193,540,720
c_110001_9,28.60496634,77.22606828,67.75,7,1:00 PM,4:00 PM,10,360,540
c_110008_26,28.64739889,77.16906566,69.74,7,7:00 AM,1:00 PM,177,0,360
c_110009_48,28.73613941,77.19606421,73.2,7,7:00 AM,1:00 PM,199,0,360
c_110002_10,28.63587318,77.22406707,75.32,7,10:00 AM,1:00 PM,61,180,360
c_110003_93,28.60030065,77.22491567,76.26,7,1:00 PM,4:00 PM,144,360,540
c_110002_25,28.64563045,77.26901991,78.3,7,10:00 AM,1:00 PM,76,180,360
c_110002_41,28.64021447,77.25547338,80.04,7,7:00 AM,1:00 PM,92,0,360
c_110001_30,28.61016272,77.1995874,80.6,7,7:00 AM,1:00 PM,31,0,360
c_110003_25,28.60872902,77.250002,81.19,7,7:00 AM,1:00 PM,26,0,360
c_110001_36,28.64996499,77.2061677,82.3,7,4:00 PM,7:00 PM,37,540,720
c_110004_12,28.62710343,77.17464996,83.21,7,4:00 PM,7:00 PM,13,540,720
c_110002_6,28.63703619,77.26164569,84.98,7,1:00 PM,4:00 PM,57,360,540
c_110008_80,28.66433606,77.16461557,86.07,7,10:00 AM,1:00 PM,131,180,360
c_110007_36,28.69058661,77.18384121,86.29,7,1:00 PM,4:00 PM,187,360,540
c_110007_86,28.68605773,77.20848302,87.39,7,1:00 PM,4:00 PM,237,360,540
c_110008_14,28.67228208,77.19099244,87.77,7,7:00 AM,1:00 PM,65,0,360
c_110002_43,28.61940316,77.25294481,89.23,7,4:00 PM,7:00 PM,94,540,720
c_110002_14,28.63351134,77.26785218,90.66,7,4:00 PM,7:00 PM,165,540,720
c_110008_69,28.66105071,77.14399042,91.19,7,1:00 PM,4:00 PM,220,360,540
c_110007_2,28.65262826,77.18031131,91.88,7,7:00 AM,1:00 PM,153,0,360
c_110001_83,28.63490157,77.23191827,92.41,7,4:00 PM,7:00 PM,234,540,720
c_110009_3,28.72205645,77.17342065,93.14,7,4:00 PM,7:00 PM,54,540,720
c_110003_76,28.59967415,77.21988067,96.21,7,1:00 PM,4:00 PM,127,360,540
c_110003_91,28.57444133,77.20810836,96.28,7,4:00 PM,7:00 PM,242,540,720
c_110002_43,28.62636812,77.24638249,97.15,7,7:00 AM,1:00 PM,194,0,360
c_110003_73,28.60808442,77.22192358,97.81,7,7:00 AM,1:00 PM,224,0,360
c_110009_74,28.73209102,77.21548374,98.02,7,1:00 PM,4:00 PM,225,360,540
c_110002_46,28.63941715,77.22535898,98.44,7,7:00 AM,1:00 PM,197,0,360
c_110001_49,28.63824754,77.19675601,98.73,7,7:00 AM,1:00 PM,100,0,360
c_110001_55,28.60867252,77.22795933,99.08,7,1:00 PM,4:00 PM,106,360,540
c_110005_68,28.64986897,77.19008029,102,10,1:00 PM,4:00 PM,219,360,540
c_110002_85,28.614045,77.22733688,103.45,10,4:00 PM,7:00 PM,236,540,720
c_110005_31,28.66505737,77.18806962,103.92,10,7:00 AM,1:00 PM,182,0,360
c_110001_14,28.60491671,77.21436647,104.96,10,10:00 AM,1:00 PM,15,180,360
c_110005_64,28.65908262,77.19902814,105.93,10,4:00 PM,7:00 PM,215,540,720
c_110004_81,28.60529059,77.18383712,106.43,10,7:00 AM,1:00 PM,232,0,360
c_110004_6,28.60616761,77.20403457,111.41,10,7:00 AM,1:00 PM,7,0,360
c_110002_9,28.63216644,77.24788405,115.88,10,7:00 AM,1:00 PM,160,0,360
c_110001_78,28.59832819,77.2259096,118.82,10,10:00 AM,1:00 PM,129,180,360
c_110009_27,28.69903388,77.2087808,119.74,10,7:00 AM,1:00 PM,28,0,360
c_110002_88,28.62462998,77.26687729,120.59,10,7:00 AM,1:00 PM,139,0,360
c_110002_11,28.62918723,77.22468663,122.96,10,1:00 PM,4:00 PM,12,360,540
c_110001_49,28.64597071,77.19875764,124.26,10,10:00 AM,1:00 PM,200,180,360
c_110004_41,28.60691859,77.1803425,125.02,10,1:00 PM,4:00 PM,192,360,540
c_110007_72,28.68921198,77.19952659,125.95,10,4:00 PM,7:00 PM,123,540,720
c_110007_16,28.68635745,77.18349257,126.24,10,7:00 AM,1:00 PM,67,0,360
c_110007_34,28.67004119,77.18547253,136.78,10,7:00 AM,1:00 PM,35,0,360
c_110004_90,28.62582016,77.19505571,141,10,7:00 AM,1:00 PM,241,0,360
c_110002_96,28.66439245,77.26200609,144.05,10,7:00 AM,1:00 PM,147,0,360
c_110007_5,28.65535086,77.19931806,145.04,10,4:00 PM,7:00 PM,156,540,720
c_110009_55,28.70213891,77.17716229,145.12,10,1:00 PM,4:00 PM,206,360,540
c_110005_62,28.63664752,77.16716737,149.52,10,7:00 AM,1:00 PM,213,0,360
c_110007_63,28.6897511,77.21685462,159.58,10,10:00 AM,1:00 PM,214,180,360
c_110004_99,28.61989839,77.17225828,161.02,10,7:00 AM,1:00 PM,150,0,360
c_110008_7,28.63370158,77.18812156,161.85,10,7:00 AM,1:00 PM,8,0,360
c_110001_61,28.61855042,77.20648322,162.62,10,10:00 AM,1:00 PM,112,180,360
c_110001_47,28.63738711,77.20181407,163.84,10,7:00 AM,1:00 PM,48,0,360
c_110001_61,28.64963159,77.20972707,168.5,10,4:00 PM,7:00 PM,212,540,720
c_110005_77,28.66506581,77.2041685,168.6,10,7:00 AM,1:00 PM,128,0,360
c_110004_58,28.62490705,77.18018731,169.78,10,1:00 PM,4:00 PM,109,360,540
c_110006_28,28.66023127,77.23863082,172.76,10,7:00 AM,1:00 PM,79,0,360
c_110007_60,28.67275937,77.1926204,184.05,10,10:00 AM,1:00 PM,111,180,360
c_110004_8,28.62731748,77.21683638,184.25,10,4:00 PM,7:00 PM,59,540,720
c_110003_20,28.57676229,77.2291858,185.28,10,4:00 PM,7:00 PM,71,540,720
c_110002_27,28.65938095,77.24397809,191.14,10,7:00 AM,1:00 PM,78,0,360
c_110005_79,28.63148423,77.17209643,191.31,10,1:00 PM,4:00 PM,130,360,540
c_110008_31,28.64743075,77.15884838,194.19,10,4:00 PM,7:00 PM,82,540,720
c_110008_3,28.67308808,77.15599975,196.53,10,10:00 AM,1:00 PM,4,180,360
c_110008_29,28.65694866,77.14872492,197.01,10,7:00 AM,1:00 PM,180,0,360
c_110003_34,28.57373798,77.20977498,197.1,10,1:00 PM,4:00 PM,85,360,540
c_110003_99,28.61798582,77.21913797,201.62,10,1:00 PM,4:00 PM,250,360,540
c_110005_18,28.64333108,77.16657609,207.68,10,4:00 PM,7:00 PM,19,540,720
c_110007_19,28.68442112,77.1855336,207.88,10,10:00 AM,1:00 PM,70,180,360
c_110005_28,28.6376213,77.17528314,208.02,10,7:00 AM,1:00 PM,29,0,360
c_110008_67,28.62962682,77.14178611,214.36,10,4:00 PM,7:00 PM,218,540,720
c_110007_30,28.68124063,77.20303962,219.36,10,4:00 PM,7:00 PM,81,540,720
c_110005_35,28.6551064,77.19271639,220.62,10,7:00 AM,1:00 PM,86,0,360
c_110002_45,28.65445616,77.25851107,230.09,10,1:00 PM,4:00 PM,196,360,540
c_110008_20,28.67621229,77.15742127,231.7,10,4:00 PM,7:00 PM,171,540,720
c_110006_76,28.64791688,77.22024075,231.96,10,7:00 AM,1:00 PM,227,0,360
c_110009_67,28.68716655,77.18593595,234.42,10,7:00 AM,1:00 PM,118,0,360
c_110001_57,28.64920245,77.21103834,234.79,10,4:00 PM,7:00 PM,108,540,720
c_110008_15,28.64175992,77.16021936,236.4,10,4:00 PM,7:00 PM,16,540,720
c_110008_46,28.67059573,77.16867957,238.8,10,7:00 AM,1:00 PM,97,0,360
c_110003_56,28.58417578,77.24479692,240.27,10,4:00 PM,7:00 PM,207,540,720
c_110002_85,28.66626405,77.2184204,247.21,10,7:00 AM,1:00 PM,136,0,360
c_110005_3,28.66301914,77.19820441,247.93,10,1:00 PM,4:00 PM,154,360,540
c_110007_18,28.67028556,77.1993291,248.25,10,7:00 AM,1:00 PM,169,0,360
c_110002_2,28.64977128,77.2617096,248.46,10,4:00 PM,7:00 PM,3,540,720
c_110008_74,28.64871855,77.14577982,249.37,10,7:00 AM,1:00 PM,125,0,360
c_110001_12,28.60449127,77.22639419,253.32,10,7:00 AM,1:00 PM,163,0,360
c_110009_46,28.72700147,77.18231411,253.51,10,4:00 PM,7:00 PM,47,540,720
c_110003_22,28.56848222,77.20183224,257.57,10,1:00 PM,4:00 PM,23,360,540
c_110005_86,28.63722209,77.20030167,259.04,10,7:00 AM,1:00 PM,137,0,360
c_110001_90,28.60144666,77.19403985,265.5,10,4:00 PM,7:00 PM,141,540,720
c_110006_82,28.63565502,77.2208022,267.06,10,4:00 PM,7:00 PM,233,540,720
c_110009_65,28.73331249,77.19771965,267.96,10,7:00 AM,1:00 PM,216,0,360
c_110009_15,28.73223858,77.21609761,268.17,10,4:00 PM,7:00 PM,66,540,720
c_110004_10,28.60314302,77.1887138,270.79,10,7:00 AM,1:00 PM,11,0,360
c_110002_88,28.64814799,77.24832697,270.87,10,10:00 AM,1:00 PM,239,180,360
c_110007_8,28.68461064,77.19300678,272.81,10,4:00 PM,7:00 PM,159,540,720
c_110007_92,28.68671059,77.19613221,275.55,10,1:00 PM,4:00 PM,143,360,540
c_110003_95,28.56898705,77.25340137,277.29,10,4:00 PM,7:00 PM,146,540,720
c_110001_16,28.6350677,77.23986446,284.83,10,7:00 AM,1:00 PM,167,0,360
c_110006_51,28.66839745,77.22946332,288.89,10,1:00 PM,4:00 PM,202,360,540
c_110006_53,28.66100042,77.20850375,292.31,10,10:00 AM,1:00 PM,204,180,360
c_110005_23,28.64241642,77.21228073,293.14,10,10:00 AM,1:00 PM,74,180,360
c_110009_35,28.69719497,77.18882766,296.19,10,1:00 PM,4:00 PM,186,360,540
c_110003_77,28.5905024,77.21549412,304.55,10,7:00 AM,1:00 PM,228,0,360
c_110003_75,28.57167176,77.23304461,306.1,10,4:00 PM,7:00 PM,226,540,720
c_110003_39,28.60911081,77.20442203,310.57,10,4:00 PM,7:00 PM,90,540,720
c_110004_22,28.60838759,77.22243518,310.92,10,4:00 PM,7:00 PM,73,540,720
c_110005_40,28.67887835,77.17772184,315.64,10,4:00 PM,7:00 PM,41,540,720
c_110003_33,28.60834685,77.24276633,320.08,10,10:00 AM,1:00 PM,84,180,360
c_110003_68,28.57010699,77.24168489,320.38,10,7:00 AM,1:00 PM,119,0,360
c_110005_12,28.64522636,77.18199662,331.79,10,7:00 AM,1:00 PM,63,0,360
c_110005_44,28.67229896,77.15934148,339.56,10,4:00 PM,7:00 PM,195,540,720
c_110003_38,28.58509834,77.20790251,342.66,10,7:00 AM,1:00 PM,189,0,360
c_110004_89,28.61134189,77.2134912,346.46,10,10:00 AM,1:00 PM,240,180,360
c_110001_43,28.61687066,77.2076316,350.9,10,4:00 PM,7:00 PM,44,540,720
c_110002_51,28.63606195,77.22919851,352.85,10,10:00 AM,1:00 PM,102,180,360
c_110001_32,28.6306516,77.2374989,358.46,10,1:00 PM,4:00 PM,183,360,540
c_110005_0,28.65434206,77.20699608,375.26,10,4:00 PM,7:00 PM,1,540,720
c_110006_24,28.66303421,77.25349332,375.61,10,4:00 PM,7:00 PM,25,540,720
c_110005_66,28.63619352,77.21095348,375.73,10,7:00 AM,1:00 PM,117,0,360
c_110003_7,28.57780248,77.20973506,376.45,10,7:00 AM,1:00 PM,158,0,360
c_110002_39,28.62073986,77.22063632,380.93,10,7:00 AM,1:00 PM,190,0,360
c_110004_73,28.60077176,77.17875518,381.42,10,7:00 AM,1:00 PM,124,0,360
c_110005_26,28.66834713,77.20302584,385.06,10,1:00 PM,4:00 PM,77,360,540
c_110001_32,28.62336619,77.23991419,386.19,10,1:00 PM,4:00 PM,83,360,540
c_110009_21,28.70716872,77.19035693,390,10,7:00 AM,1:00 PM,172,0,360
c_110002_59,28.63190041,77.2199066,390.42,10,4:00 PM,7:00 PM,110,540,720
c_110005_78,28.67165364,77.15893281,390.67,10,4:00 PM,7:00 PM,229,540,720
c_110009_52,28.69522544,77.22115456,391.8,10,4:00 PM,7:00 PM,203,540,720
c_110004_38,28.5874253,77.18834968,393.43,10,7:00 AM,1:00 PM,89,0,360
c_110005_93,28.65643662,77.17213748,393.55,10,4:00 PM,7:00 PM,244,540,720
c_110005_96,28.64329325,77.1946524,398.63,10,4:00 PM,7:00 PM,247,540,720
c_110003_52,28.59410184,77.22006523,398.88,10,4:00 PM,7:00 PM,103,540,720
c_110004_48,28.61598681,77.20061768,401.82,10,7:00 AM,1:00 PM,49,0,360
c_110001_81,28.60523879,77.21533127,401.94,10,10:00 AM,1:00 PM,132,180,360
c_110006_37,28.64082206,77.24427646,402.72,10,1:00 PM,4:00 PM,38,360,540
c_110002_13,28.64249706,77.26256846,404.86,10,1:00 PM,4:00 PM,164,360,540
c_110007_75,28.69936367,77.22408874,406.04,10,7:00 AM,1:00 PM,126,0,360
c_110008_71,28.6440203,77.18963771,407.29,10,10:00 AM,1:00 PM,122,180,360
c_110001_56,28.60250512,77.20265742,407.36,10,7:00 AM,1:00 PM,107,0,360
c_110002_60,28.64316473,77.23184355,417.74,10,7:00 AM,1:00 PM,211,0,360
c_110004_20,28.58888717,77.21606912,418.16,10,4:00 PM,7:00 PM,21,540,720
c_110005_16,28.64424873,77.21150479,423.78,10,7:00 AM,1:00 PM,17,0,360
c_110001_2,28.63321358,77.21350753,427.75,10,4:00 PM,7:00 PM,53,540,720
c_110006_23,28.6505692,77.19893716,428.67,10,7:00 AM,1:00 PM,174,0,360
c_110009_42,28.71977631,77.20656773,436.13,10,4:00 PM,7:00 PM,93,540,720
c_110006_24,28.67850827,77.23828887,438.16,10,7:00 AM,1:00 PM,75,0,360
c_110007_87,28.69759804,77.19417248,442.96,10,4:00 PM,7:00 PM,238,540,720
c_110007_17,28.67509623,77.21259761,444.61,10,4:00 PM,7:00 PM,168,540,720
c_110003_83,28.61595023,77.22874648,445.12,10,4:00 PM,7:00 PM,134,540,720
c_110004_40,28.63631868,77.18374819,445.19,10,10:00 AM,1:00 PM,191,180,360
c_110003_4,28.60751366,77.20475166,447.41,10,4:00 PM,7:00 PM,155,540,720
c_110008_36,28.6290085,77.18909688,447.54,10,1:00 PM,4:00 PM,87,360,540
c_110005_26,28.63044543,77.16788484,447.76,10,4:00 PM,7:00 PM,27,540,720
c_110003_18,28.60614279,77.23995697,451.83,10,4:00 PM,7:00 PM,69,540,720
c_110007_53,28.65825443,77.17326397,455.12,10,10:00 AM,1:00 PM,104,180,360
c_110002_7,28.65438128,77.23145597,457.97,10,4:00 PM,7:00 PM,58,540,720
c_110005_45,28.6699412,77.19537381,470.88,10,7:00 AM,1:00 PM,96,0,360
c_110008_21,28.63476806,77.13927834,475.54,10,10:00 AM,1:00 PM,22,180,360
c_110007_13,28.67826741,77.17345762,476.11,10,7:00 AM,1:00 PM,14,0,360
c_110004_0,28.6204898,77.17971733,477.25,10,4:00 PM,7:00 PM,151,540,720
c_110003_27,28.57492043,77.21457497,477.91,10,1:00 PM,4:00 PM,178,360,540
c_110003_11,28.61518896,77.22179971,479.04,10,10:00 AM,1:00 PM,162,180,360
c_110006_45,28.66463467,77.25313792,482.18,10,10:00 AM,1:00 PM,46,180,360
c_110009_29,28.72225456,77.19230257,485.35,10,7:00 AM,1:00 PM,80,0,360
c_110008_24,28.66375624,77.14809815,488.95,10,7:00 AM,1:00 PM,175,0,360
c_110008_82,28.67181412,77.17208513,489.08,10,4:00 PM,7:00 PM,133,540,720
c_110003_70,28.61839299,77.22486317,489.3,10,1:00 PM,4:00 PM,221,360,540
c_110002_94,28.61752737,77.25781429,497.9,10,7:00 AM,1:00 PM,245,0,360
